"","ID","Major_Studied","Age","Sex","MPPUS__Total","GPA","Extraversion","Neurotocism"
"68",68,"Admin",20.1122518822724,"Female",134,3.77,19,10
"69",69,"Econ",22.4503764544832,"Female",150,3.54,15,16
"70",70,"Psychology",18.1327857631759,"Female",190,NA,9,17
"71",71,"Engineering",24.4243668720055,"Male",80,3.29,12,18
"72",72,"Psychology",22.2313483915127,"Female",13,3.89,11,3
"73",73,"Psychology",22.1492128678987,"Female",71,3.97,18,12
"74",74,"Med/Dent",22.1574264202601,"Female",71,3.16,21,9
"75",75,"Admin",23.4168377823409,"Female",137,3.3,16,5
"76",76,"Med/Dent",20.8678986995209,"Male",63,3.25,10,15
"77",77,"Med/Dent",21.1444216290212,"Female",181,3.43,11,18
"78",78,"Med/Dent",25.5687885010267,"Female",82,3.35,20,4
"79",79,"Arcitecture",23.2251882272416,"Female",82,3,17,7
"80",80,"Med/Dent",21.7166324435318,"Male",94,3.23,19,7
"81",81,"Admin",21.5386721423682,"Female",173,3.78,16,24
"82",82,"Arts",21.9630390143737,"Male",53,3,15,11
"83",83,"Arts",21.0321697467488,"Female",68,3.65,13,13
"84",84,"Med/Dent",21.6947296372348,"Female",67,3.19,17,2
"85",85,"Psychology",24.6516084873374,"Male",63,3.35,13,11
"86",86,"Law",23.1895961670089,"Male",68,3.37,22,8
"87",87,"Psychology",23.9698836413415,"Female",94,3.32,18,10
"88",88,"Engineering",19.3073237508556,"Male",63,3.34,21,4
"89",89,"Admin",19.4852840520192,"Male",69,3.42,16,7
"90",90,"Arcitecture",18.8473648186174,"Female",124,3.4,14,12
"91",91,"Psychology",21.9247091033539,"Male",64,3.16,19,10
"92",92,"Psychology",21.9712525667351,"Male",121,3.55,14,17
"93",93,"Admin",20.8980150581793,"Female",51,2.8,20,8
"94",94,"Psychology",20.5557837097878,"Female",116,3.3,14,7
"95",95,"Psychology",20.870636550308,"Female",72,2.88,12,11
"96",96,"Psychology",21.3223819301848,"Female",95,3.59,19,8
"97",97,"Engineering",23.6522929500342,"Male",111,3.63,17,4
"98",98,"Psychology",23.6741957563313,"Female",139,3.93,21,11
"99",99,"Psychology",25.2375085557837,"Female",158,3.24,15,8
"100",100,"Psychology",21.4784394250513,"Female",85,3.7,17,11
"101",101,"Psychology",23.1375770020534,"Female",129,3.67,11,17
"102",102,NA,NA,NA,NA,NA,NA,NA
"103",103,"Biol or Biochem",19.8439425051335,"Male",189,2.03,20,20
"104",104,"Psychology",22.5352498288843,"Female",88,3.77,15,5
"105",105,"Biol or Biochem",22.3025325119781,"Male",55,3.35,19,7
"106",106,"Psychology",22.1464750171116,"Female",71,3.92,19,3
"107",107,"Int Relations",20.7227926078029,"Female",110,3.86,13,12
"108",108,"Admin",19.4661190965092,"Male",113,2.38,13,9
"109",109,"Psychology",23.2087611225188,"Female",164,3.47,16,14
"110",110,"Psychology",24.3066392881588,"Female",147,2.93,15,7
"111",111,"Psychology",23.4770704996578,"Male",58,3,14,5
"112",112,"Psychology",25.5496235455168,"Female",62,3.92,11,2
"113",113,"Psychology",24.1998631074606,"Male",95,3.11,14,5
"114",114,"Psychology",24.4544832306639,"Female",21,3.75,18,3
"115",115,"Psychology",21.7084188911704,"Female",117,3.87,15,12
"116",116,"Biol or Biochem",22.217659137577,"Female",126,3.19,12,18
"117",117,"Psychology",23.7262149212868,"Female",162,2.9,19,14
"118",118,"Psychology",24.7173169062286,"Male",46,3.15,7,11
"119",119,"Psychology",23.8795345653662,"Female",153,3.08,16,15
"120",120,"Psychology",NA,"Female",55,3.54,8,11
"121",121,"Psychology",21.7056810403833,"Male",47,3.68,18,1
"122",122,"Psychology",24.4709103353867,"Male",127,3.98,15,14
